altitude,temperature,pressure,density,speed_of_sound,viscosity
[m],[Kelvin],[pascal],[kg/m3],[m/s],[Pa.s]
125,287.337,99832.3,1.21037,339.814,0.00001808
126,287.331,99820.5,1.21025,339.81,1.81E-05
127,287.325,99808.6,1.21013,339.806,1.81E-05
128,287.318,99796.7,1.21002,339.802,0.000018079
129,287.311,99784.9,1.2099,339.799,1.81E-05
130,287.305,99773,1.20978,339.795,1.81E-05
131,287.298,99761.1,1.20967,339.791,0.000018078
132,287.292,99749.3,1.20955,339.787,1.81E-05
133,287.285,99737.4,1.20943,339.783,1.81E-05
134,287.279,99725.6,1.20932,339.779,0.000018077
135,287.272,99713.7,1.2092,339.776,1.81E-05
136,287.266,99701.8,1.20909,339.772,1.81E-05
137,287.26,99690,1.20897,339.768,1.81E-05
138,287.253,99678.1,1.20885,339.764,1.81E-05
139,287.246,99666.3,1.20874,339.76,1.81E-05
140,287.24,99654.4,1.20862,339.756,1.81E-05
141,287.233,99642.6,1.2085,339.752,1.81E-05
142,287.227,99630.7,1.20839,339.749,1.81E-05
143,287.22,99618.9,1.20827,339.745,1.81E-05
144,287.214,99607,1.20815,339.741,1.81E-05
145,287.207,99595.2,1.20804,339.737,1.81E-05
146,287.201,99583.3,1.20792,339.733,1.81E-05
147,287.195,99571.5,1.20781,339.729,1.81E-05
148,287.188,99559.6,1.20769,339.726,1.81E-05
149,287.181,99547.8,1.20757,339.722,1.81E-05
150,287.175,99536,1.20746,339.718,1.81E-05
151,287.168,99524.1,1.20734,339.714,1.81E-05
152,287.162,99512.3,1.20722,339.71,1.81E-05
153,287.155,99500.4,1.20711,339.706,1.81E-05
154,287.149,99488.6,1.20699,339.702,1.81E-05
155,287.142,99476.8,1.20687,339.699,1.81E-05
156,287.136,99464.9,1.20676,339.695,1.81E-05
157,287.129,99453.1,1.20664,339.691,1.81E-05
158,287.123,99441.3,1.20653,339.687,1.81E-05
159,287.116,99429.4,1.20641,339.683,1.81E-05
160,287.11,99417.6,1.20629,339.679,1.81E-05
161,287.103,99405.8,1.20618,339.676,1.81E-05
162,287.097,99393.9,1.20606,339.672,1.81E-05
163,287.09,99382.1,1.20595,339.668,1.81E-05
164,287.084,99370.3,1.20583,339.664,1.81E-05
165,287.077,99358.5,1.20571,339.66,0.000018067
166,287.071,99346.6,1.2056,339.656,1.81E-05
167,287.064,99334.8,1.20548,339.652,1.81E-05
168,287.058,99323,1.20536,339.649,0.000018066
169,287.051,99311.2,1.20525,339.645,1.81E-05
170,287.045,99299.4,1.20513,339.641,1.81E-05
171,287.038,99287.5,1.20502,339.637,0.000018065
172,287.032,99275.7,1.2049,339.633,1.81E-05
173,287.025,99263.9,1.20478,339.629,1.81E-05
174,287.019,99252.1,1.20467,339.626,0.000018064
175,287.012,99240.3,1.20455,339.622,1.81E-05
176,287.006,99228.5,1.20444,339.618,1.81E-05
177,286.999,99216.7,1.20432,339.614,1.81E-05
178,286.993,99204.9,1.2042,339.61,1.81E-05
179,286.986,99193,1.20409,339.606,1.81E-05
180,286.98,99181.2,1.20397,339.602,1.81E-05
181,286.974,99169.4,1.20385,339.599,1.81E-05
182,286.967,99157.6,1.20374,339.595,1.81E-05
183,286.96,99145.8,1.20362,339.591,1.81E-05
184,286.954,99134,1.20351,339.587,1.81E-05
185,286.947,99122.2,1.20339,339.583,1.81E-05
186,286.941,99110.4,1.20327,339.579,1.81E-05
187,286.934,99098.6,1.20316,339.576,1.81E-05
188,286.928,99086.8,1.20304,339.572,1.81E-05
189,286.921,99075,1.20293,339.568,1.81E-05
190,286.915,99063.2,1.20281,339.564,1.81E-05
191,286.909,99051.4,1.20269,339.56,1.81E-05
192,286.902,99039.6,1.20258,339.556,1.81E-05
193,286.895,99027.8,1.20246,339.552,1.81E-05
194,286.889,99016.1,1.20235,339.549,1.81E-05
195,286.882,99004.3,1.20223,339.545,1.81E-05
196,286.876,98992.5,1.20212,339.541,1.81E-05
197,286.869,98980.7,1.202,339.537,1.81E-05
198,286.863,98968.9,1.20188,339.533,1.81E-05
199,286.856,98957.1,1.20177,339.529,1.81E-05
200,286.85,98945.3,1.20165,339.526,1.81E-05
201,286.843,98933.5,1.20154,339.522,1.81E-05
202,286.837,98921.8,1.20142,339.518,1.81E-05
203,286.83,98910,1.2013,339.514,1.81E-05
204,286.824,98898.2,1.20119,339.51,1.81E-05
205,286.817,98886.4,1.20107,339.506,0.000018054
206,286.811,98874.6,1.20096,339.502,1.81E-05
207,286.804,98862.9,1.20084,339.499,1.81E-05
208,286.798,98851.1,1.20072,339.495,0.000018053
209,286.791,98839.3,1.20061,339.491,1.81E-05
210,286.785,98827.5,1.20049,339.487,1.81E-05
211,286.778,98815.8,1.20038,339.483,0.000018052
212,286.772,98804,1.20026,339.479,1.81E-05
213,286.765,98792.2,1.20015,339.476,1.81E-05
214,286.759,98780.5,1.20003,339.472,0.000018051
215,286.752,98768.7,1.19991,339.468,1.81E-05
216,286.746,98756.9,1.1998,339.464,1.81E-05
217,286.739,98745.2,1.19968,339.46,1.81E-05
218,286.733,98733.4,1.19957,339.456,1.80E-05
219,286.726,98721.6,1.19945,339.452,1.80E-05
220,286.72,98709.9,1.19934,339.449,1.80E-05
221,286.713,98698.1,1.19922,339.445,1.80E-05
222,286.707,98686.3,1.1991,339.441,1.80E-05
223,286.7,98674.6,1.19899,339.437,1.80E-05
224,286.694,98662.8,1.19887,339.433,1.80E-05
225,286.688,98651.1,1.19876,339.429,1.80E-05
226,286.681,98639.3,1.19864,339.426,1.80E-05
227,286.674,98627.6,1.19853,339.422,1.80E-05
228,286.668,98615.8,1.19841,339.418,1.80E-05
229,286.661,98604.1,1.19829,339.414,1.80E-05
230,286.655,98592.3,1.19818,339.41,1.80E-05
231,286.648,98580.6,1.19806,339.406,1.80E-05
232,286.642,98568.8,1.19795,339.402,1.80E-05
233,286.635,98557.1,1.19783,339.399,1.80E-05
234,286.629,98545.3,1.19772,339.395,1.80E-05
235,286.623,98533.6,1.1976,339.391,1.80E-05
236,286.616,98521.8,1.19749,339.387,1.80E-05
237,286.609,98510.1,1.19737,339.383,1.80E-05
238,286.603,98498.3,1.19725,339.379,1.80E-05
239,286.596,98486.6,1.19714,339.376,1.80E-05
240,286.59,98474.9,1.19702,339.372,1.80E-05
241,286.583,98463.1,1.19691,339.368,1.80E-05
242,286.577,98451.4,1.19679,339.364,1.80E-05
243,286.57,98439.7,1.19668,339.36,1.80E-05
244,286.564,98427.9,1.19656,339.356,1.80E-05
245,286.558,98416.2,1.19645,339.352,1.80E-05
246,286.551,98404.5,1.19633,339.349,1.80E-05
247,286.544,98392.7,1.19621,339.345,1.80E-05
248,286.538,98381,1.1961,339.341,0.00001804
249,286.531,98369.3,1.19598,339.337,1.80E-05
250,286.525,98357.5,1.19587,339.333,1.80E-05
251,286.518,98345.8,1.19575,339.329,0.000018039
252,286.512,98334.1,1.19564,339.325,1.80E-05
253,286.505,98322.4,1.19552,339.322,1.80E-05
254,286.499,98310.6,1.19541,339.318,0.000018038
255,286.492,98298.9,1.19529,339.314,1.80E-05
256,286.486,98287.2,1.19518,339.31,1.80E-05
257,286.479,98275.5,1.19506,339.306,0.000018037
258,286.473,98263.8,1.19494,339.302,1.80E-05
259,286.466,98252,1.19483,339.299,1.80E-05
260,286.46,98240.3,1.19471,339.295,1.80E-05
261,286.453,98228.6,1.1946,339.291,1.80E-05
262,286.447,98216.9,1.19448,339.287,1.80E-05
263,286.44,98205.2,1.19437,339.283,1.80E-05
264,286.434,98193.5,1.19425,339.279,1.80E-05
265,286.427,98181.8,1.19414,339.275,1.80E-05
266,286.421,98170,1.19402,339.272,1.80E-05
267,286.414,98158.3,1.19391,339.268,1.80E-05
268,286.408,98146.6,1.19379,339.264,1.80E-05
269,286.401,98134.9,1.19368,339.26,1.80E-05
270,286.395,98123.2,1.19356,339.256,1.80E-05
271,286.388,98111.5,1.19345,339.252,1.80E-05
272,286.382,98099.8,1.19333,339.248,1.80E-05
273,286.375,98088.1,1.19321,339.245,1.80E-05
274,286.369,98076.4,1.1931,339.241,1.80E-05
275,286.362,98064.7,1.19298,339.237,1.80E-05
276,286.356,98053,1.19287,339.233,1.80E-05
277,286.349,98041.3,1.19275,339.229,1.80E-05
278,286.343,98029.6,1.19264,339.225,1.80E-05
279,286.337,98017.9,1.19252,339.222,1.80E-05
280,286.33,98006.2,1.19241,339.218,1.80E-05
281,286.323,97994.5,1.19229,339.214,1.80E-05
282,286.317,97982.8,1.19218,339.21,1.80E-05
283,286.31,97971.1,1.19206,339.206,1.80E-05
284,286.304,97959.5,1.19195,339.202,1.80E-05
285,286.297,97947.8,1.19183,339.198,1.80E-05
286,286.291,97936.1,1.19172,339.195,1.80E-05
287,286.284,97924.4,1.1916,339.191,1.80E-05
288,286.278,97912.7,1.19149,339.187,0.000018027
289,286.272,97901,1.19137,339.183,1.80E-05
290,286.265,97889.3,1.19126,339.179,1.80E-05
291,286.258,97877.7,1.19114,339.175,0.000018026
292,286.252,97866,1.19103,339.171,1.80E-05
293,286.245,97854.3,1.19091,339.168,1.80E-05
294,286.239,97842.6,1.1908,339.164,0.000018025
295,286.232,97830.9,1.19068,339.16,1.80E-05
296,286.226,97819.3,1.19057,339.156,1.80E-05
297,286.219,97807.6,1.19045,339.152,0.000018024
298,286.213,97795.9,1.19034,339.148,1.80E-05
299,286.207,97784.2,1.19022,339.145,1.80E-05
300,286.2,97772.6,1.19011,339.141,0.000018023
301,286.193,97760.9,1.18999,339.137,1.80E-05
302,286.187,97749.2,1.18988,339.133,1.80E-05
303,286.18,97737.6,1.18976,339.129,1.80E-05
304,286.174,97725.9,1.18965,339.125,1.80E-05
305,286.167,97714.2,1.18953,339.121,1.80E-05
306,286.161,97702.6,1.18942,339.118,1.80E-05
307,286.154,97690.9,1.1893,339.114,1.80E-05
308,286.148,97679.2,1.18919,339.11,1.80E-05
309,286.141,97667.6,1.18907,339.106,1.80E-05
310,286.135,97655.9,1.18896,339.102,1.80E-05
